Signal_Name,Latitude,Longitude
L XING,21.195052,81.181997
A:A354,21.198923,81.193038
NEU SEC,21.201775,81.203902
RSM HOME,21.202742,81.208057
RSM STR,21.205048,81.219547
RSM ADV STR,21.20362,81.227612
A:MA358,21.199493,81.24484
SA G:MA360,21.201565,81.25847
L XING,21.201947,81.260092
SA G:MA362,21.204458,81.270923
L XING,21.20489,81.272795
DUG HOME,21.204415,81.280817
DURG STR,21.198537,81.29639
DURG INT STR,21.19698,81.300837
DURG ADV STR,21.196138,81.303223
DLBS HOME,21.196033,81.308802
DLBS STR,21.197905,81.318252
BQR HOME,21.199775,81.327578
BQR STR,21.20186,81.338663
BQR ADV STR,21.203397,81.346068
A:A374,21.205577,81.357287
A:A376,21.207967,81.369463
BPHB PH,21.208043,81.375848
A:A378,21.207592,81.379777
SA G:A380,21.20641,81.389833
L XING:440,21.206107,81.392398
A:A382,21.205277,81.399445
NEU SEC,21.204833,81.403467
BIA HOME,21.204198,81.408983
BIA REP,21.20293,81.421248
BIA STR,21.203257,81.426065
BIA ADV STR,21.204938,81.429817
DBEC HOME,21.210712,81.442687
DBEC STR,21.215945,81.454263
DBEC ADV STR,21.217837,81.458325
DCBIN HOME,21.21852,81.45982
DCBIN STR,21.2224,81.468493
DCBIN ADV STR,21.223553,81.47111
A:A388,21.227858,81.480683
ACBIN HOME,21.231907,81.489835
ACBIN STR,21.236065,81.499137
ACBIN ADV STR,21.237027,81.501237
KMI HOME,21.239033,81.50568
L XING:430,21.239733,81.507283
KMI STR,21.245465,81.520157
KMI ADV STR,21.24722,81.524055
L XING:429,21.248333,81.526537
A:A394,21.250612,81.536907
A:A396,21.250505,81.549865
NEU SEC,21.251492,81.558252
SZB HOME,21.252057,81.5635
SZB STR,21.253393,81.576342
SZB ADV STR,21.254053,81.58247
A:A398,21.25474,81.592007
SA G:A400,21.2535,81.598725
L XING:419,21.253137,81.600495
SRWN PH,21.252272,81.604648
A:A402,21.250628,81.61151
R HOME,21.248937,81.621945
R STR,21.25835,81.62999
R ADV STR,21.263418,81.632568
GATE SIG,21.27002,81.635423
L XING:417,21.271575,81.636115
WRS PH,21.277783,81.638947
